攻角,MA,实际MA,实际转速,角速度,label
-4.777,1.0,1.00031,2060.76,0.1,1
-4.735,1.0,1.00042,2059.71,0.1,1
-4.684,1.0,1.00063,2059.71,0.1,1
-4.6339999999999995,1.0,1.00065,2059.71,0.1,1
-4.584,1.0,1.00065,2058.56,0.1,1
-4.534,1.0,1.00065,2057.84,0.1,1
-4.486000000000001,1.0,1.00037,2056.25,0.1,1
-4.433,1.0,1.00032,2055.59,0.1,1
-4.382,1.0,1.00033,2055.43,0.1,1
-4.334,1.0,1.00033,2054.55,0.1,1
-4.283,1.0,1.0003799999999998,2052.63,0.1,1
-4.232,1.0,1.00016,2052.08,0.1,1
-4.183,1.0,1.0,2052.19,0.1,1
-4.132,1.0,1.00013,2052.19,0.1,1
-4.085,1.0,1.00022,2050.32,0.1,1
-4.032,1.0,1.00041,2049.99,0.1,1
-3.984,1.0,1.00042,2050.32,0.1,1
-3.932,1.0,1.0005700000000002,2050.32,0.1,1
-3.8819999999999997,1.0,1.00058,2050.32,0.1,1
-3.833,1.0,1.00053,2047.74,0.1,1
-3.78,1.0,1.00034,2046.91,0.1,1
-3.7319999999999998,1.0,1.0001200000000001,2046.91,0.1,1
-3.6830000000000003,1.0,1.0001,2045.32,0.1,1
-3.63,1.0,0.99977,2044.83,0.1,1
-3.5810000000000004,1.0,0.9996200000000001,2044.83,0.1,1
-3.532,1.0,0.99949,2044.88,0.1,1
-3.4819999999999998,1.0,0.9993700000000001,2044.5,0.1,1
-3.43,1.0,0.9994799999999999,2044.5,0.1,1
-3.3819999999999997,1.0,0.9997799999999999,2044.5,0.1,1
-3.332,1.0,0.9999299999999999,2043.62,0.1,1
-3.281,1.0,1.00003,2043.62,0.1,1
-3.2310000000000003,1.0,1.0001799999999998,2042.68,0.1,1
-3.181,1.0,0.99998,2042.68,0.1,1
-3.1310000000000002,1.0,0.9998799999999999,2041.75,0.1,1
-3.083,1.0,0.9998,2041.75,0.1,1
-3.031,1.0,0.9997299999999999,2039.5,0.1,1
-2.984,1.0,0.99975,2039.5,0.1,1
-2.9330000000000003,1.0,0.99969,2038.67,0.1,1
-2.8810000000000002,1.0,0.99975,2038.01,0.1,1
-2.8339999999999996,1.0,0.99979,2038.01,0.1,1
-2.784,1.0,0.9997799999999999,2037.68,0.1,1
-2.735,1.0,0.99969,2036.81,0.1,1
-2.685,1.0,0.99966,2036.81,0.1,1
-2.635,1.0,0.9996,2036.64,0.1,1
-2.58,1.0,0.9996700000000001,2036.04,0.1,1
-2.531,1.0,0.99969,2036.53,0.1,1
-2.484,1.0,0.9996,2036.53,0.1,1
-2.4330000000000003,1.0,0.99961,2036.15,0.1,1
-2.383,1.0,0.9996700000000001,2035.43,0.1,1
-2.335,1.0,0.9997,2035.43,0.1,1
-2.2840000000000003,1.0,0.99975,2034.94,0.1,1
-2.228,1.0,0.99987,2033.56,0.1,1
-2.182,1.0,1.00001,2033.84,0.1,1
-2.133,1.0,1.00004,2033.23,0.1,1
-2.084,1.0,1.00011,2032.8,0.1,1
-2.032,1.0,0.9999899999999999,2032.47,0.1,1
-1.983,1.0,0.9999100000000001,2031.81,0.1,1
-1.9340000000000002,1.0,0.99982,2031.59,0.1,1
-1.882,1.0,0.99966,2031.2,0.1,1
-1.8330000000000002,1.0,0.99974,2031.2,0.1,1
-1.784,1.0,0.99975,2029.94,0.1,1
-1.732,1.0,0.99979,2029.94,0.1,1
-1.683,1.0,0.99982,2029.72,0.1,1
-1.633,1.0,0.99995,2030.32,0.1,1
-1.5830000000000002,1.0,1.0,2029.83,0.1,1
-1.534,1.0,1.00003,2029.28,0.1,1
-1.483,1.0,1.00014,2029.06,0.1,1
-1.4340000000000002,1.0,1.00014,2028.24,0.1,1
-1.382,1.0,1.0000200000000001,2028.57,0.1,1
-1.3330000000000002,1.0,0.99995,2028.29,0.1,1
-1.284,1.0,0.99987,2027.52,0.1,1
-1.23,1.0,0.9996799999999999,2027.52,0.1,1
-1.1840000000000002,1.0,0.99954,2026.97,0.1,1
-1.135,1.0,0.99936,2026.64,0.1,1
-1.083,1.0,0.99931,2026.81,0.1,1
-1.031,1.0,0.9992,2026.81,0.1,1
-0.9840000000000001,1.0,0.99923,2026.81,0.1,1
-0.935,1.0,0.9993,2026.48,0.1,1
-0.884,1.0,0.99934,2026.81,0.1,1
-0.835,1.0,0.99935,2026.81,0.1,1
-0.7859999999999999,1.0,0.9994799999999999,2026.81,0.1,1
-0.7340000000000001,1.0,0.9995,2026.59,0.1,1
-0.685,1.0,0.99954,2026.59,0.1,1
-0.635,1.0,0.9995799999999999,2026.59,0.1,1
-0.584,1.0,0.9996,2026.59,0.1,1
-0.534,1.0,0.9996,2026.59,0.1,1
-0.484,1.0,0.9996299999999999,2026.48,0.1,1
-0.433,1.0,0.99975,2027.08,0.1,1
-0.385,1.0,0.9998299999999999,2027.08,0.1,1
-0.335,1.0,0.99972,2027.08,0.1,1
-0.284,1.0,0.9996299999999999,2026.64,0.1,1
-0.233,1.0,0.9995700000000001,2026.64,0.1,1
-0.185,1.0,0.99954,2026.31,0.1,1
-0.135,1.0,0.9994700000000001,2026.31,0.1,1
-0.085,1.0,0.9995299999999999,2026.31,0.1,1
-0.035,1.0,0.9994299999999999,2027.03,0.1,1
0.0,1.0,0.9967299999999999,2021.286,0.1,-1
0.016,1.0,0.99945,2026.26,0.1,1
0.053,1.0,1.01746,2070.92,0.1,-1
0.065,1.0,0.99936,2026.92,0.1,1
0.11599999999999999,1.0,0.99934,2026.92,0.1,1
0.16699999999999998,1.0,0.99939,2027.52,0.1,1
0.21600000000000003,1.0,0.9995,2027.3,0.1,1
0.265,1.0,0.9994700000000001,2027.69,0.1,1
0.315,1.0,1.00799,2049.305,0.1,-1
0.365,1.0,0.9996,2027.69,0.1,1
0.415,1.0,0.99971,2028.18,0.1,1
0.465,1.0,0.9997799999999999,2027.63,0.1,1
0.514,1.0,0.9999100000000001,2027.63,0.1,1
0.5660000000000001,1.0,1.0000200000000001,2028.24,0.1,1
0.616,1.0,1.0,2027.58,0.1,1
0.665,1.0,0.9999899999999999,2028.02,0.1,1
0.7140000000000001,1.0,0.99997,2028.02,0.1,1
0.764,1.0,0.99995,2027.47,0.1,1
0.816,1.0,0.99989,2027.19,0.1,1
0.8420000000000001,1.0,1.01501,2070.92,0.1,-1
0.865,1.0,0.99987,2026.97,0.1,1
0.914,1.0,0.9998100000000001,2026.97,0.1,1
0.965,1.0,0.9997299999999999,2027.47,0.1,1
1.015,1.0,0.99971,2028.13,0.1,1
1.067,1.0,0.99976,2028.13,0.1,1
1.1159999999999999,1.0,0.99977,2027.96,0.1,1
1.1640000000000001,1.0,0.9998299999999999,2028.68,0.1,1
1.217,1.0,0.99998,2028.68,0.1,1
1.265,1.0,1.00007,2029.12,0.1,1
1.319,1.0,1.00006,2029.12,0.1,1
1.37,1.0,1.00006,2029.66,0.1,1
1.421,1.0,1.0,2029.77,0.1,1
1.469,1.0,1.0,2029.99,0.1,1
1.517,1.0,0.9999899999999999,2030.16,0.1,1
1.571,1.0,1.00006,2029.44,0.1,1
1.6119999999999999,1.0,1.0129299999999999,2079.49,0.1,-1
1.62,1.0,1.00003,2029.99,0.1,1
1.671,1.0,1.00007,2030.1,0.1,1
1.72,1.0,1.00006,2030.76,0.1,1
1.767,1.0,1.00005,2030.76,0.1,1
1.819,1.0,1.00007,2030.54,0.1,1
1.871,1.0,1.0001200000000001,2030.54,0.1,1
1.919,1.0,1.0000200000000001,2030.54,0.1,1
1.966,1.0,1.00005,2031.31,0.1,1
2.017,1.0,1.00009,2031.09,0.1,1
2.0669999999999997,1.0,1.00003,2031.09,0.1,1
2.1180000000000003,1.0,0.99997,2031.86,0.1,1
2.169,1.0,0.99992,2032.52,0.1,1
2.219,1.0,0.99985,2032.8,0.1,1
2.2680000000000002,1.0,0.99979,2033.4,0.1,1
2.318,1.0,0.99975,2033.89,0.1,1
2.369,1.0,0.9997299999999999,2033.56,0.1,1
2.418,1.0,0.9998,2033.56,0.1,1
2.469,1.0,0.9999299999999999,2035.1,0.1,1
2.5180000000000002,1.0,1.00013,2035.71,0.1,1
2.54,1.0,1.01075,2091.57,0.1,-1
2.568,1.0,1.00027,2035.71,0.1,1
2.617,1.0,1.00037,2035.71,0.1,1
2.667,1.0,1.0005,2036.97,0.1,1
2.717,1.0,1.00065,2036.97,0.1,1
2.767,1.0,1.00078,2036.86,0.1,1
2.818,1.0,1.0007700000000002,2036.86,0.1,1
2.867,1.0,1.0007700000000002,2036.86,0.1,1
2.917,1.0,1.00072,2037.9,0.1,1
2.967,1.0,1.0005700000000002,2037.79,0.1,1
3.0180000000000002,1.0,1.00037,2037.79,0.1,1
3.0660000000000003,1.0,1.00019,2037.52,0.1,1
3.115,1.0,1.0000799999999999,2038.45,0.1,1
3.1639999999999997,1.0,0.99995,2038.73,0.1,1
3.216,1.0,1.00001,2038.73,0.1,1
3.265,1.0,1.0001200000000001,2038.73,0.1,1
3.3160000000000003,1.0,1.00003,2039.55,0.1,1
3.365,1.0,1.00003,2040.87,0.1,1
3.415,1.0,1.0001,2040.87,0.1,1
3.467,1.0,1.00017,2042.35,0.1,1
3.515,1.0,1.00013,2042.63,0.1,1
3.54,1.0,1.0082799999999998,2091.57,0.1,-1
3.5639999999999996,1.0,1.0001799999999998,2043.67,0.1,1
3.614,1.0,1.00019,2044.17,0.1,1
3.6639999999999997,1.0,1.00011,2044.22,0.1,1
3.715,1.0,1.00015,2044.22,0.1,1
3.765,1.0,1.00015,2045.27,0.1,1
3.8160000000000003,1.0,1.00027,2045.21,0.1,1
3.866,1.0,1.00026,2046.58,0.1,1
3.915,1.0,1.00019,2046.58,0.1,1
3.97,1.0,1.00015,2046.58,0.1,1
4.015,1.0,1.00009,2046.58,0.1,1
4.065,1.0,1.00001,2047.63,0.1,1
4.119,1.0,0.9998600000000001,2047.63,0.1,1
4.168,1.0,0.9998600000000001,2047.63,0.1,1
4.218999999999999,1.0,0.9998,2048.89,0.1,1
4.27,1.0,0.99974,2048.89,0.1,1
4.317,1.0,0.9995700000000001,2048.89,0.1,1
4.369,1.0,0.99961,2048.89,0.1,1
4.419,1.0,0.99965,2051.36,0.1,1
4.468999999999999,1.0,0.9997799999999999,2051.36,0.1,1
4.52,1.0,0.9999,2053.29,0.1,1
4.56,1.0,1.00613,2101.41,0.1,-1
4.567,1.0,0.9999600000000001,2054.11,0.1,1
4.62,1.0,1.00004,2054.11,0.1,1
4.668,1.0,1.0002,2055.81,0.1,1
4.72,1.0,1.0003799999999998,2056.36,0.1,1
4.7669999999999995,1.0,1.0004899999999999,2056.36,0.1,1
4.819,1.0,1.00035,2056.36,0.1,1
4.869,1.0,1.0002799999999998,2057.08,0.1,1
4.92,1.0,1.00032,2057.08,0.1,1
4.966,1.0,1.0003,2058.5,0.1,1
5.018,1.0,1.00023,2058.78,0.1,1
5.0680000000000005,1.0,1.00022,2058.5,0.1,1
5.117,1.0,1.00005,2058.5,0.1,1
5.167000000000001,1.0,0.9998,2058.5,0.1,1
5.218999999999999,1.0,0.99964,2059.49,0.1,1
5.268,1.0,0.99974,2060.59,0.1,1
5.318,1.0,0.99997,2061.69,0.1,1
5.367000000000001,1.0,1.00001,2062.73,0.1,1
5.417000000000001,1.0,1.0,2063.45,0.1,1
5.468999999999999,1.0,0.9999100000000001,2063.67,0.1,1
5.518,1.0,0.9999600000000001,2065.15,0.1,1
5.54,1.0,1.00424,2101.41,0.1,-1
5.567,1.0,0.99969,2065.15,0.1,1
5.617999999999999,1.0,0.9994200000000001,2066.08,0.1,1
5.667999999999999,1.0,0.9991399999999999,2065.64,0.1,1
5.718,1.0,0.99902,2066.74,0.1,1
5.769,1.0,0.9989299999999999,2067.24,0.1,1
5.817,1.0,0.99903,2067.68,0.1,1
5.867000000000001,1.0,0.9992200000000001,2069.05,0.1,1
5.916,1.0,0.9994200000000001,2070.04,0.1,1
5.972,1.0,0.9996299999999999,2071.47,0.1,1
6.017,1.0,0.9999299999999999,2071.47,0.1,1
6.066,1.0,1.00017,2071.47,0.1,1
6.117999999999999,1.0,1.0002,2072.46,0.1,1
6.166,1.0,1.00034,2072.46,0.1,1
6.216,1.0,1.00032,2072.46,0.1,1
6.267,1.0,1.00029,2072.46,0.1,1
6.316,1.0,1.0002799999999998,2072.46,0.1,1
6.367000000000001,1.0,1.0001799999999998,2072.46,0.1,1
6.416,1.0,1.00021,2073.17,0.1,1
6.4639999999999995,1.0,0.99997,2073.66,0.1,1
6.513999999999999,1.0,0.99982,2074.38,0.1,1
6.565,1.0,0.99972,2074.38,0.1,1
6.58,1.0,1.00272,2107.89,0.1,-1
6.615,1.0,0.99956,2075.31,0.1,1
6.667999999999999,1.0,0.99949,2076.47,0.1,1
6.718,1.0,0.9994299999999999,2077.51,0.1,1
6.766,1.0,0.9994200000000001,2077.51,0.1,1
6.817,1.0,0.99972,2077.51,0.1,1
6.867000000000001,1.0,0.99982,2080.53,0.1,1
6.916,1.0,1.00003,2080.53,0.1,1
6.9670000000000005,1.0,1.0000799999999999,2080.53,0.1,1
7.017,1.0,1.00027,2081.85,0.1,1
7.064,1.0,1.0003,2082.84,0.1,1
7.1160000000000005,1.0,1.00045,2082.84,0.1,1
7.17,1.0,1.0005,2082.84,0.1,1
7.2170000000000005,1.0,1.00051,2082.84,0.1,1
7.268,1.0,1.00045,2082.84,0.1,1
7.317,1.0,1.00024,2082.89,0.1,1
7.367000000000001,1.0,1.00004,2082.89,0.1,1
7.416,1.0,0.9998799999999999,2082.89,0.1,1
7.4670000000000005,1.0,0.9997299999999999,2082.89,0.1,1
7.515,1.0,0.99971,2082.89,0.1,1
7.565,1.0,0.9998100000000001,2085.75,0.1,1
7.617000000000001,1.0,0.99969,2086.3,0.1,1
7.62,1.0,1.0016100000000001,2107.89,0.1,-1
7.665,1.0,0.99985,2086.3,0.1,1
7.7170000000000005,1.0,0.99964,2086.68,0.1,1
7.769,1.0,0.9998100000000001,2087.89,0.1,1
7.818,1.0,0.9998600000000001,2087.95,0.1,1
7.87,1.0,0.99976,2088.11,0.1,1
7.919,1.0,0.9998,2088.11,0.1,1
7.966,1.0,0.99984,2089.21,0.1,1
8.015,1.0,0.9998600000000001,2089.21,0.1,1
8.066,1.0,0.9998,2090.75,0.1,1
8.118,1.0,0.99965,2090.31,0.1,1
8.171,1.0,0.99955,2091.46,0.1,1
8.217,1.0,0.99941,2091.46,0.1,1
8.265,1.0,0.99949,2092.01,0.1,1
8.316,1.0,0.9996299999999999,2092.01,0.1,1
8.366,1.0,0.99966,2092.01,0.1,1
8.416,1.0,1.00001,2093.88,0.1,1
8.467,1.0,1.0003,2095.14,0.1,1
8.519,1.0,1.0005600000000001,2094.54,0.1,1
8.568,1.0,1.0004600000000001,2094.81,0.1,1
8.58,1.0,1.00094,2107.89,0.1,-1
8.618,1.0,1.00052,2094.81,0.1,1
8.668,1.0,1.00043,2095.25,0.1,1
8.718,1.0,1.00019,2094.65,0.1,1
8.767000000000001,1.0,0.99998,2095.8,0.1,1
8.818999999999999,1.0,0.9999600000000001,2095.25,0.1,1
8.867,1.0,0.99977,2095.42,0.1,1
8.918,1.0,0.9997,2095.42,0.1,1
8.966000000000001,1.0,0.99984,2097.78,0.1,1
9.019,1.0,0.99982,2098.16,0.1,1
9.068999999999999,1.0,0.9999399999999999,2098.77,0.1,1
9.118,1.0,1.00007,2098.77,0.1,1
9.169,1.0,1.00013,2099.92,0.1,1
9.22,1.0,1.00013,2100.75,0.1,1
9.27,1.0,1.0002,2101.9,0.1,1
9.32,1.0,1.00027,2102.34,0.1,1
9.368,1.0,1.00031,2103.0,0.1,1
9.421,1.0,1.0004,2103.22,0.1,1
9.47,1.0,1.00034,2104.76,0.1,1
9.515,1.0,1.00039,2104.76,0.1,1
9.561,1.0,1.00041,2107.89,0.1,1
9.567,1.0,1.00054,2105.25,0.1,1
9.616,1.0,1.0007,2105.25,0.1,1
9.666,1.0,1.00109,2107.5,0.1,1
9.719,1.0,1.0011700000000001,2107.61,0.1,1
9.767000000000001,1.0,1.0014299999999998,2107.61,0.1,1
9.816,1.0,1.00163,2107.61,0.1,1
9.867,1.0,1.00185,2108.71,0.1,1
9.918,1.0,1.00196,2109.64,0.1,1
9.968,1.0,1.00226,2109.64,0.1,1
10.017999999999999,1.0,1.0025700000000002,2110.19,0.1,1
10.068,1.0,1.0028700000000002,2110.19,0.1,1
10.118,1.0,1.00314,2109.7,0.1,1
10.168,1.0,1.00316,2109.37,0.1,1
10.219,1.0,1.0032,2108.66,0.1,1
10.270999999999999,1.0,1.00302,2108.33,0.1,1
10.293,1.0,1.00009,2106.95,0.1,-1
10.321,1.0,1.00289,2107.01,0.1,1
10.37,1.0,1.0028299999999999,2107.01,0.1,1
