攻角,MA,实际MA,实际转速,角速度,label
-5.0,1.05,1.04999,2133.271,0.1,1
-4.967,1.05,1.04956,2133.65,0.1,1
-4.916,1.05,1.04972,2134.64,0.1,1
-4.867,1.05,1.04986,2134.64,0.1,1
-4.816,1.05,1.05013,2135.63,0.1,1
-4.766,1.05,1.05035,2135.85,0.1,1
-4.717,1.05,1.0506,2134.97,0.1,1
-4.666,1.05,1.05082,2134.47,0.1,1
-4.615,1.05,1.0511,2133.43,0.1,1
-4.565,1.05,1.0513299999999999,2133.43,0.1,1
-4.515,1.05,1.05144,2133.43,0.1,1
-4.465,1.05,1.05149,2130.02,0.1,1
-4.414,1.05,1.05148,2128.16,0.1,1
-4.367,1.05,1.0513299999999999,2127.06,0.1,1
-4.316,1.05,1.05113,2127.06,0.1,1
-4.2669999999999995,1.05,1.05093,2127.06,0.1,1
-4.217,1.05,1.05069,2123.27,0.1,1
-4.166,1.05,1.05044,2122.72,0.1,1
-4.117,1.05,1.0503799999999999,2122.72,0.1,1
-4.065,1.05,1.05029,2122.94,0.1,1
-4.015,1.05,1.05023,2121.51,0.1,1
-3.964,1.05,1.0502,2121.4,0.1,1
-3.915,1.05,1.05019,2121.4,0.1,1
-3.865,1.05,1.05021,2122.22,0.1,1
-3.815,1.05,1.0502799999999999,2122.22,0.1,1
-3.766,1.05,1.05041,2121.29,0.1,1
-3.716,1.05,1.05054,2121.13,0.1,1
-3.6660000000000004,1.05,1.05067,2121.13,0.1,1
-3.615,1.05,1.05085,2121.13,0.1,1
-3.5660000000000003,1.05,1.05081,2119.75,0.1,1
-3.517,1.05,1.05069,2119.75,0.1,1
-3.465,1.05,1.05044,2117.39,0.1,1
-3.4210000000000003,1.05,1.05041,2117.01,0.1,1
-3.365,1.05,1.05031,2116.02,0.1,1
-3.342,1.05,1.05016,2116.02,0.1,1
-3.265,1.05,1.05005,2114.64,0.1,1
-3.215,1.05,1.04996,2114.7,0.1,1
-3.165,1.05,1.04989,2114.7,0.1,1
-3.117,1.05,1.0498100000000001,2113.38,0.1,1
-3.0639999999999996,1.05,1.04979,2112.94,0.1,1
-3.016,1.05,1.04976,2113.05,0.1,1
-2.9619999999999997,1.05,1.04967,2112.67,0.1,1
-2.9139999999999997,1.05,1.04979,2111.79,0.1,1
-2.862,1.05,1.0499,2112.17,0.1,1
-2.815,1.05,1.0499100000000001,2111.24,0.1,1
-2.763,1.05,1.05007,2111.24,0.1,1
-2.713,1.05,1.05008,2110.85,0.1,1
-2.6630000000000003,1.05,1.0500200000000002,2109.86,0.1,1
-2.614,1.05,1.05,2109.86,0.1,1
-2.562,1.05,1.04999,2108.88,0.1,1
-2.513,1.05,1.04996,2108.66,0.1,1
-2.463,1.05,1.0498100000000001,2108.44,0.1,1
-2.415,1.05,1.0496299999999998,2108.44,0.1,1
-2.366,1.05,1.04967,2108.44,0.1,1
-2.316,1.05,1.04956,2106.79,0.1,1
-2.2640000000000002,1.05,1.0495700000000001,2106.51,0.1,1
-2.214,1.05,1.0497299999999998,2106.51,0.1,1
-2.165,1.05,1.04972,2106.51,0.1,1
-2.115,1.05,1.04977,2106.46,0.1,1
-2.066,1.05,1.0497,2105.91,0.1,1
-2.0140000000000002,1.05,1.04972,2105.36,0.1,1
-1.963,1.05,1.04979,2105.36,0.1,1
-1.9140000000000001,1.05,1.0498399999999999,2104.59,0.1,1
-1.8630000000000002,1.05,1.0498399999999999,2104.48,0.1,1
-1.815,1.05,1.04993,2104.54,0.1,1
-1.7619999999999998,1.05,1.04989,2104.1,0.1,1
-1.715,1.05,1.0498299999999998,2104.1,0.1,1
-1.663,1.05,1.0497299999999998,2103.16,0.1,1
