攻角,MA,实际MA,实际转速,角速度,label
-5.0,0.75,0.74953,1692.105,0.1,-1
-4.979,0.75,0.74992,1693.26,0.1,1
-4.931,0.75,0.75,1692.82,0.1,1
-4.878,0.75,0.7499100000000001,1692.71,0.1,1
-4.829,0.75,0.74992,1692.6,0.1,1
-4.779,0.75,0.75017,1692.77,0.1,1
-4.729,0.75,0.75031,1692.55,0.1,1
-4.678,0.75,0.75047,1692.55,0.1,1
-4.627,0.75,0.75069,1692.11,0.1,1
-4.577,0.75,0.75083,1691.56,0.1,1
-4.527,0.75,0.75089,1691.56,0.1,1
-4.475,0.75,0.75073,1690.68,0.1,1
-4.426,0.75,0.7508100000000001,1690.68,0.1,1
-4.377,0.75,0.75102,1690.68,0.1,1
-4.327,0.75,0.75105,1688.87,0.1,1
-4.276,0.75,0.7509999999999999,1688.87,0.1,1
-4.228,0.75,0.75084,1687.55,0.1,1
-4.175,0.75,0.75062,1687.33,0.1,1
-4.128,0.75,0.75061,1687.33,0.1,1
-4.075,0.75,0.7508100000000001,1686.56,0.1,1
-4.026,0.75,0.7510100000000001,1685.74,0.1,1
-3.977,0.75,0.75105,1685.02,0.1,1
-3.927,0.75,0.7508,1685.02,0.1,1
-3.8760000000000003,0.75,0.75067,1684.09,0.1,1
-3.824,0.75,0.75042,1683.49,0.1,1
-3.782,0.75,0.75024,1683.49,0.1,1
-3.7289999999999996,0.75,0.7499899999999999,1683.16,0.1,1
-3.681,0.75,0.7501,1682.66,0.1,1
-3.63,0.75,0.75016,1682.66,0.1,1
-3.5810000000000004,0.75,0.75043,1682.33,0.1,1
-3.53,0.75,0.75047,1682.33,0.1,1
-3.48,0.75,0.75054,1681.51,0.1,1
-3.429,0.75,0.75071,1681.01,0.1,1
-3.3789999999999996,0.75,0.75054,1681.01,0.1,1
-3.3289999999999997,0.75,0.75032,1680.3,0.1,1
-3.279,0.75,0.7502800000000001,1680.3,0.1,1
-3.227,0.75,0.75036,1680.3,0.1,1
-3.178,0.75,0.75048,1678.76,0.1,1
-3.1289999999999996,0.75,0.75035,1678.49,0.1,1
-3.0789999999999997,0.75,0.7502300000000001,1677.94,0.1,1
-3.0260000000000002,0.75,0.7501,1677.61,0.1,1
-2.9789999999999996,0.75,0.7499399999999999,1677.61,0.1,1
-2.929,0.75,0.74984,1677.61,0.1,1
-2.8789999999999996,0.75,0.74992,1676.56,0.1,1
-2.8289999999999997,0.75,0.7499100000000001,1675.58,0.1,1
-2.78,0.75,0.74987,1675.85,0.1,1
-2.7289999999999996,0.75,0.74969,1675.63,0.1,1
-2.677,0.75,0.7497199999999999,1675.36,0.1,1
-2.6310000000000002,0.75,0.74961,1675.36,0.1,1
-2.577,0.75,0.74958,1675.36,0.1,1
