攻角,MA,实际MA,实际转速,角速度,label
8.29,0.95,0.94925,2009.01,0.2,1
8.39,0.95,0.94934,2010.38,0.2,1
8.488,0.95,0.94949,2010.38,0.2,1
8.59,0.95,0.94932,2012.14,0.2,1
8.692,0.95,0.94918,2013.9,0.2,1
8.792,0.95,0.94937,2013.95,0.2,1
8.888,0.95,0.94952,2014.72,0.2,1
8.992,0.95,0.94996,2015.82,0.2,1
9.054,0.95,0.95292,2026.86,0.2,-1
9.088,0.95,0.95025,2015.82,0.2,1
9.188,0.95,0.95041,2017.58,0.2,1
9.288,0.95,0.9506,2018.62,0.2,1
9.388,0.95,0.95064,2019.61,0.2,1
9.488,0.95,0.95064,2019.61,0.2,1
9.588,0.95,0.9506,2020.05,0.2,1
9.647,0.95,0.95273,2026.64,0.2,-1
9.688,0.95,0.9509,2021.2,0.2,1
9.788,0.95,0.95092,2021.86,0.2,1
9.884,0.95,0.95113,2021.86,0.2,1
9.929,0.95,0.95233,2024.94,0.2,-1
9.98,0.95,0.95144,2021.86,0.2,1
10,0.95,0.95199,2024.94,0.2,1
