攻角,MA,实际MA,实际转速,角速度,label
-5,0.7,0.7003208,1673.116,0.1,-1
-4.957,0.7,0.69815,1668.49,0.1,1
-4.907,0.7,0.69815,1667.88,0.1,1
-4.858,0.7,0.69817,1667.17,0.1,1
-4.806,0.7,0.6982,1667.17,0.1,1
-4.756,0.7,0.69846,1666.79,0.1,1
-4.708,0.7,0.6989,1666.18,0.1,1
-4.658,0.7,0.69906,1666.18,0.1,1
-4.608,0.7,0.69921,1666.18,0.1,1
-4.556,0.7,0.69919,1665.74,0.1,1
-4.507,0.7,0.69937,1665.91,0.1,1
-4.457,0.7,0.69953,1665.91,0.1,1
-4.406,0.7,0.69986,1665.91,0.1,1
-4.357,0.7,0.69994,1665.91,0.1,1
-4.307,0.7,0.70015,1666.35,0.1,1
-4.256,0.7,0.70031,1666.29,0.1,1
-4.207,0.7,0.70022,1666.29,0.1,1
-4.157,0.7,0.70029,1666.29,0.1,1
-4.107,0.7,0.70032,1665.69,0.1,1
-4.057,0.7,0.70029,1665.69,0.1,1
-4.007,0.7,0.70037,1665.69,0.1,1
-3.958,0.7,0.70055,1665.58,0.1,1
-3.906,0.7,0.70059,1665.47,0.1,1
-3.857,0.7,0.70072,1665.47,0.1,1
-3.808,0.7,0.7006,1665.36,0.1,1
-3.757,0.7,0.70053,1664.97,0.1,1
-3.706,0.7,0.70052,1664.37,0.1,1
-3.658,0.7,0.70031,1664.37,0.1,1
-3.607,0.7,0.70018,1663.49,0.1,1
-3.557,0.7,0.69994,1661.46,0.1,1
-3.506,0.7,0.6998,1661.46,0.1,1
-3.457,0.7,0.69972,1661.02,0.1,1
-3.407,0.7,0.69954,1661.02,0.1,1
-3.357,0.7,0.69964,1659.92,0.1,1
-3.307,0.7,0.69944,1659.21,0.1,1
-3.257,0.7,0.69952,1658.88,0.1,1
-3.207,0.7,0.69974,1658.55,0.1,1
-3.157,0.7,0.69971,1658.6,0.1,1
-3.107,0.7,0.69977,1658.16,0.1,1
-3.057,0.7,0.69966,1657.89,0.1,1
-3.006,0.7,0.69974,1657.89,0.1,1
-2.957,0.7,0.69986,1658.38,0.1,1
-2.908,0.7,0.69999,1658.16,0.1,1
-2.856,0.7,0.69995,1658.05,0.1,1
-2.807,0.7,0.7,1658.05,0.1,1
-2.757,0.7,0.70006,1658.33,0.1,1
-2.707,0.7,0.70009,1658,0.1,1
