攻角,MA,实际MA,实际转速,角速度,label
-5.0,0.75,0.74973,1689.646,0.2,1
-4.9460000000000015,0.75,0.74964,1689.47,0.2,1
-4.846,0.75,0.7497199999999999,1689.47,0.2,1
-4.75,0.75,0.7498199999999999,1690.13,0.2,1
-4.65,0.75,0.7498600000000001,1690.13,0.2,1
-4.55,0.75,0.75027,1690.13,0.2,1
-4.45,0.75,0.75046,1689.8,0.2,1
-4.35,0.75,0.75076,1689.09,0.2,1
-4.25,0.75,0.7509600000000001,1689.09,0.2,1
-4.15,0.75,0.75115,1689.09,0.2,1
-4.046,0.75,0.7514,1689.09,0.2,1
-3.948,0.75,0.7516,1685.57,0.2,1
-3.848,0.75,0.75175,1685.57,0.2,1
-3.744,0.75,0.7518699999999999,1685.57,0.2,1
-3.644,0.75,0.75178,1681.78,0.2,1
-3.544,0.75,0.75154,1680.41,0.2,1
-3.442,0.75,0.75124,1680.41,0.2,1
-3.3480000000000003,0.75,0.7510399999999999,1678.16,0.2,1
-3.2460000000000004,0.75,0.75093,1677.28,0.2,1
-3.144,0.75,0.7509100000000001,1676.56,0.2,1
-3.044,0.75,0.75073,1676.56,0.2,1
-2.95,0.75,0.75061,1674.7,0.2,1
-2.854,0.75,0.7502300000000001,1674.7,0.2,1
-2.754,0.75,0.75007,1674.7,0.2,1
-2.652,0.75,0.7497699999999999,1672.5,0.2,1
-2.55,0.75,0.74969,1672.0,0.2,1
-2.452,0.75,0.74943,1672.17,0.2,1
-2.352,0.75,0.74934,1671.73,0.2,1
-2.254,0.75,0.74936,1671.78,0.2,1
-2.15,0.75,0.74934,1671.78,0.2,1
-2.052,0.75,0.74925,1671.13,0.2,1
-1.954,0.75,0.74926,1671.13,0.2,1
-1.852,0.75,0.74938,1671.13,0.2,1
-1.7519999999999998,0.75,0.74952,1670.8,0.2,1
-1.65,0.75,0.74961,1670.63,0.2,1
-1.5519999999999998,0.75,0.74958,1670.52,0.2,1
-1.454,0.75,0.74969,1670.52,0.2,1
-1.346,0.75,0.74988,1670.8,0.2,1
-1.25,0.75,0.7500100000000001,1670.36,0.2,1
-1.148,0.75,0.7501,1670.36,0.2,1
-1.05,0.75,0.75013,1670.36,0.2,1
-0.95,0.75,0.75005,1670.36,0.2,1
-0.85,0.75,0.7500100000000001,1668.93,0.2,1
-0.75,0.75,0.74998,1668.1,0.2,1
-0.65,0.75,0.74987,1667.45,0.2,1
-0.546,0.75,0.74975,1667.45,0.2,1
-0.448,0.75,0.7498,1667.45,0.2,1
-0.35200000000000004,0.75,0.74959,1667.45,0.2,1
-0.25,0.75,0.74955,1667.01,0.2,1
-0.152,0.75,0.74948,1667.01,0.2,1
-0.046,0.75,0.74946,1667.01,0.2,1
0.048,0.75,0.7496,1667.12,0.2,1
0.154,0.75,0.74959,1667.12,0.2,1
0.254,0.75,0.74965,1667.12,0.2,1
0.35,0.75,0.74964,1667.12,0.2,1
0.446,0.75,0.74974,1667.72,0.2,1
0.55,0.75,0.74973,1668.05,0.2,1
0.65,0.75,0.7498600000000001,1668.05,0.2,1
0.748,0.75,0.74997,1668.05,0.2,1
0.848,0.75,0.74995,1668.43,0.2,1
0.952,0.75,0.7500100000000001,1668.1,0.2,1
1.046,0.75,0.75005,1668.32,0.2,1
1.146,0.75,0.7500600000000001,1668.21,0.2,1
1.248,0.75,0.75003,1668.21,0.2,1
1.348,0.75,0.7499399999999999,1668.21,0.2,1
1.45,0.75,0.74998,1668.27,0.2,1
1.55,0.75,0.7499,1668.27,0.2,1
1.65,0.75,0.74989,1668.27,0.2,1
1.7480000000000002,0.75,0.7498,1668.21,0.2,1
1.846,0.75,0.74958,1668.21,0.2,1
1.956,0.75,0.74944,1668.16,0.2,1
2.0540000000000003,0.75,0.74938,1667.72,0.2,1
2.154,0.75,0.74921,1667.83,0.2,1
2.252,0.75,0.74912,1668.32,0.2,1
2.35,0.75,0.74895,1668.27,0.2,1
2.454,0.75,0.74889,1668.27,0.2,1
2.552,0.75,0.74889,1668.54,0.2,1
2.656,0.75,0.74903,1669.53,0.2,1
2.754,0.75,0.74912,1670.3,0.2,1
2.854,0.75,0.74925,1670.3,0.2,1
2.954,0.75,0.74946,1671.35,0.2,1
3.056,0.75,0.74958,1672.61,0.2,1
3.154,0.75,0.74973,1673.16,0.2,1
3.254,0.75,0.74979,1673.16,0.2,1
3.358,0.75,0.74985,1673.16,0.2,1
3.454,0.75,0.75013,1675.14,0.2,1
3.554,0.75,0.75025,1675.74,0.2,1
3.65,0.75,0.75032,1675.74,0.2,1
3.758,0.75,0.75041,1675.74,0.2,1
3.856,0.75,0.75048,1676.23,0.2,1
3.956,0.75,0.75053,1676.67,0.2,1
4.056,0.75,0.75048,1676.67,0.2,1
4.158,0.75,0.75036,1676.67,0.2,1
4.254,0.75,0.7501899999999999,1677.17,0.2,1
4.356,0.75,0.7500899999999999,1677.61,0.2,1
4.454,0.75,0.75,1677.61,0.2,1
4.556,0.75,0.7498199999999999,1677.61,0.2,1
4.658,0.75,0.74992,1677.61,0.2,1
4.756,0.75,0.74975,1677.61,0.2,1
4.856,0.75,0.74984,1677.61,0.2,1
4.956,0.75,0.74993,1677.61,0.2,1
5.052,0.75,0.7499600000000001,1681.67,0.2,1
5.152,0.75,0.75002,1681.62,0.2,1
5.254,0.75,0.7501,1681.62,0.2,1
5.356,0.75,0.7500100000000001,1683.98,0.2,1
5.452000000000001,0.75,0.7499,1683.98,0.2,1
5.5520000000000005,0.75,0.74963,1683.98,0.2,1
5.652,0.75,0.74948,1685.68,0.2,1
5.754,0.75,0.74955,1686.18,0.2,1
5.854,0.75,0.74946,1686.18,0.2,1
5.957999999999998,0.75,0.74964,1687.77,0.2,1
6.0520000000000005,0.75,0.74978,1688.54,0.2,1
6.152,0.75,0.74959,1688.54,0.2,1
6.256,0.75,0.74971,1689.47,0.2,1
6.354,0.75,0.74969,1689.47,0.2,1
6.452000000000001,0.75,0.74955,1691.07,0.2,1
6.556,0.75,0.74963,1691.72,0.2,1
6.654,0.75,0.7496,1692.33,0.2,1
6.756,0.75,0.74965,1693.54,0.2,1
6.854,0.75,0.74943,1694.8,0.2,1
6.957999999999998,0.75,0.7492800000000001,1695.02,0.2,1
7.056,0.75,0.7494,1695.57,0.2,1
7.152,0.75,0.74963,1697.66,0.2,1
7.256,0.75,0.75024,1697.66,0.2,1
7.354,0.75,0.75035,1699.31,0.2,1
7.457999999999998,0.75,0.75037,1700.57,0.2,1
