攻角,MA,实际MA,实际转速,角速度,label
-5,1,0.99991,2065.38,0.2,1
-4.95,1,1.00018,2066.19,0.2,1
-4.84,1,1.00026,2065.92,0.2,1
-4.752,1,1.0004,2065.53,0.2,1
-4.652,1,1.0006,2065.1,0.2,1
-4.548,1,1.00083,2065.1,0.2,1
-4.446,1,1.001,2063.34,0.2,1
-4.352,1,1.00117,2060.92,0.2,1
-4.25,1,1.00131,2060.92,0.2,1
-4.146,1,1.00147,2058.67,0.2,1
-4.042,1,1.00156,2057.02,0.2,1
-3.954,1,1.00134,2057.02,0.2,1
-3.85,1,1.00114,2051.03,0.2,1
-3.75,1,1.00089,2048.95,0.2,1
-3.648,1,1.00052,2048.95,0.2,1
-3.544,1,1.0002,2048.95,0.2,1
-3.442,1,0.99994,2044.77,0.2,1
-3.346,1,0.99963,2043.73,0.2,1
-3.242,1,0.99942,2043.73,0.2,1
-3.148,1,0.99925,2042.24,0.2,1
-3.046,1,0.99914,2042.24,0.2,1
-2.948,1,0.99913,2042.68,0.2,1
-2.844,1,0.99918,2042.68,0.2,1
-2.75,1,0.99944,2042.68,0.2,1
-2.644,1,0.99947,2041.36,0.2,1
-2.548,1,0.99967,2041.36,0.2,1
-2.442,1,0.99987,2041.36,0.2,1
-2.348,1,0.99999,2039,0.2,1
-2.248,1,1.00016,2038.07,0.2,1
-2.14,1,1.00022,2037.14,0.2,1
-2.04,1,1.00025,2037.14,0.2,1
-1.954,1,1.00024,2034.44,0.2,1
-1.848,1,1.0002,2033.84,0.2,1
-1.748,1,1.0001,2032.08,0.2,1
-1.652,1,0.99997,2032.08,0.2,1
-1.548,1,0.99986,2030.71,0.2,1
-1.448,1,0.99969,2029.44,0.2,1
-1.35,1,0.99971,2030.1,0.2,1
-1.244,1,0.99979,2028.79,0.2,1
-1.146,1,0.99969,2029.22,0.2,1
-1.05,1,0.9996,2028.35,0.2,1
-0.952,1,0.99953,2028.18,0.2,1
-0.848,1,0.99947,2028.46,0.2,1
-0.75,1,0.99935,2027.85,0.2,1
-0.65,1,0.99932,2027.85,0.2,1
-0.548,1,0.99932,2027.85,0.2,1
-0.448,1,0.99919,2027.36,0.2,1
-0.35,1,0.99909,2027.8,0.2,1
-0.25,1,0.99909,2027.41,0.2,1
-0.152,1,0.99919,2027.41,0.2,1
-0.048,1,0.99917,2028.57,0.2,1
0.05,1,0.99916,2028.79,0.2,1
0.148,1,0.99916,2028.79,0.2,1
0.252,1,0.99922,2028.73,0.2,1
0.356,1,0.99932,2029.77,0.2,1
